Season,Round,round_num,home_Gls,away_Gls,goals_diff,shots_diff,SoT_diff,tackles_diff,touches_diff,xG_diff,home_side_rank,home_side_rolling_points,home_side_rolling_points_home,away_side_rank,away_side_rolling_points,away_side_rolling_points_away,win_loss,League
2018-2019,Matchweek 20,20,1,0,-1.2,-2.2,-0.8,7,-56.8,-0.6,11,0.8,1.6,7,1.4,0.8,1,Premier_league
2018-2019,Matchweek 20,20,2,0,-1.2,-4.4,-3.2,-2,-151.6,-0.1,17,0.6,0.8,11,2.4,2.2,1,Premier_league
2018-2019,Matchweek 20,20,0,1,0,1.4,-0.8,2.2,-172.4,-0.3,14,1.4,1.6,4,1.8,1.8,0,Premier_league
2018-2019,Matchweek 20,20,1,0,0,-1,0.4,-7.2,-99.4,0.2,18,0.6,1,20,0.2,0.8,1,Premier_league
2018-2019,Matchweek 20,20,0,1,-0.2,1.2,0.4,4.4,127.2,-0.6,7,1.4,1.6,15,0.8,0.2,0,Premier_league
2018-2019,Matchweek 20,20,5,1,1.4,8.6,3.8,-2,93.8,0.8,1,3,3,6,1.4,0.6,1,Premier_league
2018-2019,Matchweek 20,20,4,1,2.4,3,5,5.4,97.4,1,5,2.4,2.6,13,0.8,0.6,1,Premier_league
2018-2019,Matchweek 20,20,1,2,0,-1.4,-0.4,0.8,-263.2,0,18,1.2,1.2,2,1.2,1.8,0,Premier_league
2018-2019,Matchweek 20,20,1,3,2,1.6,1.2,-6.8,121,0.3,3,3,2.4,7,2,1,0,Premier_league
2018-2019,Matchweek 21,21,4,1,1,0,0.2,1.6,164,0.2,6,1.4,2.2,19,1,0.4,1,Premier_league
2018-2019,Matchweek 21,21,2,3,-1,-1.8,-1.4,-6.6,-32,-1,13,0.6,1,8,1.4,0.8,0,Premier_league
2018-2019,Matchweek 21,21,0,3,-2,-1.4,-1.4,1.6,-329.2,-0.3,16,1.4,1.8,3,2.4,2.4,0,Premier_league
2018-2019,Matchweek 21,21,0,1,1.4,0,0,-7.6,-7.6,0.3,9,1.2,2,7,1.2,1.6,0,Premier_league
2018-2019,Matchweek 21,21,1,2,-0.6,0.6,0.6,-0.6,133,-0.9,20,0,0.4,15,1.2,0.2,0,Premier_league
2018-2019,Matchweek 21,21,2,1,-1.8,-4.2,-2.4,2.2,63,-1,2,1.2,2.4,1,3,2.6,1,Premier_league
2018-2019,Matchweek 21,21,0,2,-2.8,-5.2,-5.2,0.8,-224.2,-1.5,17,1,1.4,5,2.4,1.4,0,Premier_league
2018-2019,Matchweek 21,21,0,2,0.8,2.2,2.2,0,36.2,0.4,12,1.8,1.8,11,0.8,0.6,0,Premier_league
2018-2019,Matchweek 21,21,0,2,0.4,0.8,2.4,1.6,70.2,0.4,9,2,1.2,14,1.4,0.8,0,Premier_league
2018-2019,Matchweek 22,22,0,1,-2,-7.4,-3.4,5.4,-228.8,-1.8,11,1.4,1.6,1,2.4,2.4,0,Premier_league
2018-2019,Matchweek 22,22,2,1,0.6,4,1.8,-5.6,368.6,0.9,4,2,1.6,18,1,1.2,1,Premier_league
2018-2019,Matchweek 22,22,0,2,-0.8,0.6,-2.2,2.4,-63.4,-0.2,14,2,1.4,7,2,1.4,0,Premier_league
2018-2019,Matchweek 22,22,2,0,0.6,-1.2,-1,1.8,-18.8,0.2,8,0.6,1.4,13,0.6,0,1,Premier_league
2018-2019,Matchweek 22,22,1,2,-0.8,1.4,-0.6,2.4,64,0,8,1.8,1.4,16,1.4,0.8,0,Premier_league
2018-2019,Matchweek 22,22,2,0,0.8,2.2,1,-7.6,185.4,0.6,2,1.8,2.4,10,1.4,1.6,1,Premier_league
2018-2019,Matchweek 22,22,0,1,0.2,0,-2,-5,48.2,-0.7,3,2.4,2.4,5,2.4,1.4,0,Premier_league
2018-2019,Matchweek 22,22,1,0,-1.4,0.8,-0.6,3.2,-127.2,-0.9,11,1.2,1.2,6,1.4,0.4,1,Premier_league
2018-2019,Matchweek 23,23,2,0,0.8,-2.4,-0.4,-1.2,-186.4,0.4,6,1.4,2.6,5,2,1.8,1,Premier_league
2018-2019,Matchweek 23,23,2,0,0.4,1.4,0.8,-2,-21.6,0.1,13,0.6,1,11,1.2,2,1,Premier_league
2018-2019,Matchweek 23,23,0,2,-2.2,-4.4,-3.2,-2.4,-205.2,-0.3,19,1.2,1.6,3,1.8,2.4,0,Premier_league
2018-2019,Matchweek 23,23,0,3,-1.2,-3,-2.2,2.8,-281.8,-1.1,20,0.2,0.2,2,1.8,1.8,0,Premier_league
2018-2019,Matchweek 23,23,4,3,1.6,-2,2.4,-5.8,219,1.1,1,2.4,3,14,1.4,1.4,1,Premier_league
2018-2019,Matchweek 23,23,2,1,2.2,3.8,4.8,-3.4,234.4,1.4,4,3,2.6,11,1.4,1.2,1,Premier_league
2018-2019,Matchweek 23,23,3,0,0,1.8,-0.6,6,96.2,-0.3,16,0.4,0.8,18,1,0.8,1,Premier_league
2018-2019,Matchweek 23,23,4,2,-0.2,-3.2,-1.6,2.2,43.2,-0.5,9,0.8,1.2,9,1.8,1.6,1,Premier_league
2018-2019,Matchweek 24,24,2,1,1.4,3.4,2,0.8,224,1.2,6,1.4,3,18,1,0.8,1,Premier_league
2018-2019,Matchweek 24,24,4,0,0,1,1.2,2,-332.8,0.1,11,0.6,1.4,5,2,1.8,1,Premier_league
2018-2019,Matchweek 24,24,4,2,-0.2,1.4,0.8,-4.8,32.2,0.4,18,1,1,12,1.4,1.2,1,Premier_league
2018-2019,Matchweek 24,24,0,1,-1.2,-3,-0.6,1.4,-48.6,-0.4,20,0.2,0,7,1.4,0.8,0,Premier_league
2018-2019,Matchweek 24,24,2,1,-1,-3.2,-2.2,7.4,-366.6,-1.1,14,0.8,0.8,2,2.4,1.8,1,Premier_league
2018-2019,Matchweek 24,24,2,1,0.8,2,3,-0.4,236.4,0,3,1.8,1.8,9,1.6,1.8,1,Premier_league
2018-2019,Matchweek 24,24,3,0,1,-1,0.4,6.8,6.2,0.1,8,1.4,1.8,12,1.2,1.8,1,Premier_league
2018-2019,Matchweek 25,25,2,0,-1.4,-3,-4,0.4,-92.8,-0.9,17,0.8,1.4,11,1.2,0,1,Premier_league
2018-2019,Matchweek 25,25,5,0,0.4,2.6,2.2,-1.6,248.8,0.1,5,1.4,2,20,0.2,0.4,1,Premier_league
2018-2019,Matchweek 25,25,2,0,-0.2,-2.2,-1.6,11.2,-56.6,-0.6,14,0.8,1.4,19,1.4,0.4,1,Premier_league
2018-2019,Matchweek 25,25,1,3,-1.2,1.6,-1,-1.2,41.8,-0.1,8,1.4,1.4,7,1.8,1.4,0,Premier_league
2018-2019,Matchweek 25,25,0,1,-1.2,-3.8,-2.4,6,-118.6,-0.9,10,0.8,1.2,4,2.6,2,0,Premier_league
2018-2019,Matchweek 25,25,3,1,0.2,1.6,1,-5.2,232.6,-0.2,2,2.4,2.4,6,1.8,0.2,1,Premier_league
2018-2019,Matchweek 25,25,1,0,0.2,4.4,2.4,-6.6,317,0.4,3,1.8,1.8,15,1.4,1,1,Premier_league
2018-2019,Matchweek 26,26,1,3,-0.2,0.8,-0.4,2.6,7.6,-0.6,12,0.8,1,15,1.4,1,0,Premier_league
2018-2019,Matchweek 26,26,0,3,-0.4,-4,-3,0.2,-42.8,-0.5,19,0.8,1.4,4,2.6,2.4,0,Premier_league
2018-2019,Matchweek 26,26,1,2,-1.6,-2.4,-2,-0.2,-32.2,-1.3,20,0.2,0,6,1.8,0.2,0,Premier_league
