Season,Round,round_num,home_Gls,away_Gls,goals_diff,shots_diff,SoT_diff,tackles_diff,touches_diff,xG_diff,home_side_rank,home_side_rolling_points,home_side_rolling_points_home,away_side_rank,away_side_rolling_points,away_side_rolling_points_away,win_loss,League
2020-2021,Matchweek 34,34,4,3,0.2,-2.8,-1.4,0.2,15.4,-0.2,9,1,2,19,1,0.4,1,Ligue_1
2020-2021,Matchweek 34,34,1,0,0,0.8,0,-0.4,51.4,0.1,3,0.8,2,15,1,0.8,1,Ligue_1
2020-2021,Matchweek 34,34,0,1,-1.4,-0.6,0.8,3.6,-240.4,-1.5,13,1,1.2,2,2.4,2,0,Ligue_1
2020-2021,Matchweek 34,34,5,0,0.8,2.2,0.2,-8.2,203.2,0.6,4,1.4,2.4,16,1.4,1.4,1,Ligue_1
2020-2021,Matchweek 34,34,1,3,-0.4,-3.6,-2.2,1.2,-50.2,-0.8,18,1,1.6,4,3,1.8,0,Ligue_1
2020-2021,Matchweek 35,35,0,1,1,-2.6,1.8,5.8,-123,0.2,20,1,1.4,3,1.4,0.4,0,Ligue_1
2020-2021,Matchweek 35,35,2,0,0,-1.6,0.6,5.4,-63.8,-0.5,11,2,1.4,16,1,1.4,1,Ligue_1
2020-2021,Matchweek 35,35,1,2,1,1,-0.2,4,-5,0.3,16,1.2,1.4,13,0.8,1,0,Ligue_1
2020-2021,Matchweek 35,35,0,3,-1,-6.2,-3.2,1.4,61,0.1,2,2.4,1.8,6,2,1.2,0,Ligue_1
2020-2021,Matchweek 35,35,1,0,1.2,3.8,1.6,2.4,60.2,0.8,4,3,2.2,15,0.4,0.4,1,Ligue_1
2020-2021,Matchweek 35,35,2,0,0.6,3,1.8,-5,194,0.7,4,1.4,2.4,18,0.8,1,1,Ligue_1
2020-2021,Matchweek 35,35,2,3,-2.4,-1.8,-3.4,-1.2,-217.6,-0.5,7,1.6,2.2,1,2.6,1.2,0,Ligue_1
2020-2021,Matchweek 35,35,3,0,-0.2,-5.2,-1.6,-1.6,-111.6,-0.2,14,0.8,1.6,10,1.4,2.4,1,Ligue_1
2020-2021,Matchweek 36,36,4,1,-1.2,-2.4,-1.6,-6.6,15.8,-0.9,14,0.4,0.8,20,0.8,0.4,1,Ligue_1
2020-2021,Matchweek 36,36,0,1,0.2,-2.6,0.4,9,-26.6,-0.4,11,2,1.4,7,1,0.8,0,Ligue_1
2020-2021,Matchweek 36,36,2,1,0.2,1.8,0.2,-3,-18,0.1,16,1,0.4,12,0.4,0.6,1,Ligue_1
2020-2021,Matchweek 36,36,1,2,-1.2,1.4,-2,1,104.2,-1.3,10,1.2,1.6,4,3,2.4,0,Ligue_1
2020-2021,Matchweek 36,36,0,3,0.4,3.6,2.8,2.4,-253.4,-0.3,17,1.2,1.4,2,1.8,2,0,Ligue_1
2020-2021,Matchweek 36,36,3,2,-2.2,-5,-4,5.2,-73.2,-1.7,18,0.4,0.6,6,2,1.6,1,Ligue_1
2020-2021,Matchweek 36,36,2,1,-0.6,1.4,0.2,5.8,-170.6,0.1,9,1.2,2,5,1.8,2,1,Ligue_1
2020-2021,Matchweek 36,36,4,2,-0.6,5.8,-0.4,-1.4,135,1,3,1.8,2.6,19,0.8,0.4,1,Ligue_1
2020-2021,Matchweek 36,36,1,2,-0.8,0.6,0,-2.6,-63.8,0.1,13,1.4,1,8,2.2,1.2,0,Ligue_1
2020-2021,Matchweek 37,37,3,2,1,4.8,2.4,-1.4,104.6,0.8,6,1.8,1.8,9,1.6,1,1,Ligue_1
2020-2021,Matchweek 37,37,1,0,-0.2,3,-0.6,7,20.6,-0.3,18,1,1,14,1,0.4,1,Ligue_1
2020-2021,Matchweek 37,37,4,2,0.8,4,2.6,-2.8,20,1.2,4,3,2.6,11,1.8,1.8,1,Ligue_1
2020-2021,Matchweek 37,37,0,4,-1.2,-1.2,-1.4,5.2,-109,-0.5,13,0.4,0.6,1,2.2,1.8,0,Ligue_1
2020-2021,Matchweek 37,37,1,3,0.8,0.6,-0.8,-1.6,19.6,1,3,2.4,2.6,10,0.6,1.8,0,Ligue_1
2020-2021,Matchweek 37,37,2,0,0.6,2.2,1.2,-2.4,20,0,5,1.2,2.4,2,1.8,2.4,1,Ligue_1
2020-2021,Matchweek 37,37,1,2,0.4,-1.4,-0.2,3,-18.6,0.2,19,0.8,1.4,12,1.4,1.6,0,Ligue_1
2020-2021,Matchweek 37,37,1,0,0,-1,-0.8,-2.6,-22,0.1,7,1.4,2,16,1.6,0.8,1,Ligue_1
2020-2021,Matchweek 37,37,1,3,-0.6,-4.6,-2.4,1.6,-147.4,0.1,14,1,2,8,2.2,1.6,0,Ligue_1
2020-2021,Matchweek 38,38,2,0,0.2,-1.4,0.4,-9.4,-14.8,0,14,0.8,1.2,13,0.2,0.6,1,Ligue_1
2020-2021,Matchweek 38,38,2,4,0.2,-1.4,-0.4,2.4,-54.8,0,11,1.8,1.4,19,0.4,0.2,0,Ligue_1
2020-2021,Matchweek 38,38,1,2,-1.6,-7.4,-2.6,2.6,-70.4,-1.4,16,1.4,0.8,5,1.8,1,0,Ligue_1
2020-2021,Matchweek 38,38,4,0,0.2,-1.2,-1.4,-3.4,151.6,-0.2,2,1.8,1.8,7,1.8,1.2,1,Ligue_1
2020-2021,Matchweek 38,38,5,0,1.4,1.6,3,-3.4,234.4,1.3,1,2.2,2.2,18,1.4,0.2,1,Ligue_1
2020-2021,Matchweek 38,38,2,3,0,-4.2,-0.6,-0.4,-116.4,-0.6,12,1.8,0.8,3,1.8,0.8,0,Ligue_1
2021-2022,Matchweek 1,1,0,2,,,,,,,16,,1,1,,0.8,0,Ligue_1
2021-2022,Matchweek 1,1,3,2,,,,,,,1,,1.4,16,,1.8,1,Ligue_1
2021-2022,Matchweek 1,1,1,3,,,,,,,16,,0.6,1,,1.8,0,Ligue_1
2021-2022,Matchweek 1,1,0,2,,,,,,,16,,2,1,,0.4,0,Ligue_1
2021-2022,Matchweek 1,1,1,2,,,,,,,16,,1.4,1,,2.4,0,Ligue_1
2021-2022,Matchweek 2,2,2,0,1,-8,-2,2,-294,-0.5,1,3,1.8,14,1,1.4,1,Ligue_1
2021-2022,Matchweek 2,2,2,0,1,4,3,1,137,2.2,1,3,0.8,18,0,0.6,1,Ligue_1
2021-2022,Matchweek 2,2,0,4,2,5,4,0,18,0.3,18,0,1,4,1,1.2,0,Ligue_1
2021-2022,Matchweek 2,2,1,0,0,-3,1,3,-382,-1,4,1,1.4,14,1,2.6,1,Ligue_1
2021-2022,Matchweek 2,2,2,0,-2,-7,-4,3,-110,-0.7,4,1,1.6,8,3,0.2,1,Ligue_1
2021-2022,Matchweek 2,2,3,2,2,5,1,-17,72,0.9,1,3,2.2,18,0,1,1,Ligue_1
2021-2022,Matchweek 3,3,2,4,-1.5,0,2.5,7.5,-317.5,-0.9,29,1,1.4,17,3,3,0,Ligue_1
2021-2022,Matchweek 3,3,3,2,-1.5,-6,-5.5,8.5,-6,-1.3,22,0.5,2.6,19,3,1.4,1,Ligue_1
2021-2022,Matchweek 3,3,0,2,-1,-3,-4,4,275,-0.5,31,0.5,2.6,20,1,2.2,0,Ligue_1
2021-2022,Matchweek 3,3,3,1,1,5,1,-7,27,0.6,22,0.5,0.4,22,2,0.4,1,Ligue_1
2021-2022,Matchweek 3,3,1,0,-0.5,0,-1.5,-5,221,0,20,1,2,22,2,0.6,1,Ligue_1
2021-2022,Matchweek 4,4,2,0,0.7,-0.7,0.7,12,-80.3,0.3,4,2.3333333333333335,1.8,8,1.6666666666666667,1,1,Ligue_1
2021-2022,Matchweek 4,4,2,1,-1.3,-6.3,-0.6,1.7,155,-1,11,0.33333333333333331,0.8,11,1.3333333333333333,0.2,1,Ligue_1
2021-2022,Matchweek 4,4,3,1,1.2,1.8,1.2,-6.5,135.2,0.5,1,1,1,16,1,0.6,1,Ligue_1
2021-2022,Matchweek 4,4,0,1,-0.3,-8.3,-2.3,-4,-293,-1.1,11,1.3333333333333333,2.2,5,1.3333333333333333,1.2,0,Ligue_1
2021-2022,Matchweek 4,4,4,0,1,0.3,-0.3,0,24.5,1.1,1,1,1,18,0.66666666666666663,0.8,1,Ligue_1
2021-2022,Matchweek 4,4,0,2,-1.7,-0.7,-1,1.7,-328.3,-0.9,16,1,0.8,3,3,3,0,Ligue_1
2021-2022,Matchweek 4,4,2,1,-0.3,-2,-2.7,2.3,187,-0.1,11,0.33333333333333331,1.4,18,0.66666666666666663,1.4,1,Ligue_1
2021-2022,Matchweek 4,4,0,2,0.4,-1.7,2.4,-7.3,-292,0,20,0.33333333333333331,0.8,11,0.33333333333333331,2,0,Ligue_1
2021-2022,Matchweek 5,5,2,3,-1,-2.7,-1.7,2,53.3,-0.9,20,0.5,0.6,6,1.5,2.2,0,Ligue_1
2021-2022,Matchweek 5,5,2,1,0,-4.8,-0.7,-0.2,-151,-0.3,7,1.25,1.4,13,1,0.8,1,Ligue_1
2021-2022,Matchweek 5,5,3,1,0,4.5,2,3.5,97,0.5,5,1.75,2.6,13,1,0.8,1,Ligue_1
2021-2022,Matchweek 5,5,0,2,0.8,0,0,1,39.8,-0.1,11,1.25,2,13,0.25,0.6,0,Ligue_1
2021-2022,Matchweek 5,5,0,2,-1.9,-5.9,-1.9,9.5,9.3,-0.4,13,1,2,1,1.4,1.4,0,Ligue_1
2021-2022,Matchweek 5,5,2,0,0.7,2.3,0.2,0,-37.8,0.6,8,1,1,18,0.75,0.4,1,Ligue_1
2021-2022,Matchweek 5,5,0,2,-1.9,-1.2,-0.7,-2.8,-126.7,-1.2,13,1,2,1,1.4,1.4,0,Ligue_1
2021-2022,Matchweek 5,5,4,0,1,-4.7,-2.3,-2,158.5,-0.3,3,3,2.2,8,1.75,1.2,1,Ligue_1
2021-2022,Matchweek 5,5,0,2,-0.2,-2.7,-1.2,-2.7,124.2,0.1,11,1.25,2.6,10,0.75,1.8,0,Ligue_1
2021-2022,Matchweek 6,6,1,4,1,-1.2,-0.6,4.2,129.8,0.4,5,2.2,2.4,10,0.8,0.4,0,Ligue_1
2021-2022,Matchweek 6,6,1,0,0.8,1.8,1.6,-1.8,-130.8,0.6,4,1.8,1.4,18,0.8,0.8,1,Ligue_1
2021-2022,Matchweek 6,6,2,0,1.7,4.6,1.6,4.6,68.8,0.8,1,1.8,1.4,13,1,0.4,1,Ligue_1
2021-2022,Matchweek 6,6,2,1,1.4,-1.4,-0.4,-4.2,93.2,0.2,3,3,2.2,6,2,1.8,1,Ligue_1
2021-2022,Matchweek 6,6,1,2,0,2.2,-0.2,1.8,-25.2,0.3,20,0.6,1,13,0.4,0.8,0,Ligue_1
2021-2022,Matchweek 6,6,3,0,0.2,-2,-0.8,0,-2,0.5,10,0.8,1.4,13,1,0.4,1,Ligue_1
2021-2022,Matchweek 7,7,0,1,0.2,3.6,1.6,-3.6,-31.8,-0.4,5,2.2,1.4,8,1.4,0.6,0,Ligue_1
2021-2022,Matchweek 7,7,2,1,-0.4,-2.4,-1,1.2,135.6,0.2,14,0.8,1.4,14,1.2,2.2,1,Ligue_1
2021-2022,Matchweek 7,7,1,0,-1.5,-2,1.1,1.5,1.5,-1.4,5,1.6,1.4,3,1.8,1.4,1,Ligue_1
2021-2022,Matchweek 7,7,3,1,0.8,4,2,1.6,160.4,0.7,4,1.8,2.6,17,1,1.2,1,Ligue_1
2021-2022,Matchweek 7,7,1,2,-2.6,-0.4,-1.6,2.2,-163.2,-1.3,17,0.4,2,2,3,3,0,Ligue_1
2021-2022,Matchweek 7,7,3,1,-0.2,-3.4,-2,3.2,117.8,0.4,11,0.8,1.4,20,0.4,0.4,1,Ligue_1
2021-2022,Matchweek 7,7,2,1,0,2.2,0.4,2.8,-52.8,0.3,8,1.2,1.4,19,0.6,1,1,Ligue_1
2021-2022,Matchweek 7,7,6,0,-0.8,-4.4,-2.2,-4,-67.4,-0.3,11,0.8,2,11,1,0.6,1,Ligue_1
2021-2022,Matchweek 8,8,1,2,0.6,-2.2,0,-1.6,19.2,0,19,0.4,0.4,15,0.4,0.4,0,Ligue_1
2021-2022,Matchweek 8,8,1,3,-0.6,3,0.6,-4.8,-21.8,-0.4,15,0.4,1.6,8,1.4,1.6,0,Ligue_1
2021-2022,Matchweek 8,8,2,3,0.2,0.8,-0.3,6.1,144.6,0.3,2,2.2,1.8,4,2,2.6,0,Ligue_1
2021-2022,Matchweek 8,8,2,0,0.8,-0.2,0.4,-0.6,236.6,0.4,1,3,2.6,13,1.6,0.4,1,Ligue_1
2021-2022,Matchweek 8,8,3,1,-0.4,-2.2,-0.8,-4.2,-3.8,-0.6,9,1,0.4,9,1.2,1,1,Ligue_1
2021-2022,Matchweek 8,8,0,3,-1.2,0.5,0.6,3.2,-53.9,-1.6,20,0.2,0.4,2,1.6,1.2,0,Ligue_1
2021-2022,Matchweek 8,8,1,2,0.4,1.2,-0.2,1.6,-5,0.7,9,2,2,9,1.4,0.8,0,Ligue_1
2021-2022,Matchweek 9,9,3,2,0.2,0.6,0,4,149.8,0.4,5,1.2,2,16,0.8,0.8,1,Ligue_1
2021-2022,Matchweek 9,9,2,0,0.6,5.2,1.4,-3.4,94.6,0.9,4,2,1.2,13,1.4,1.6,1,Ligue_1
2021-2022,Matchweek 9,9,2,0,-0.4,-3.2,-0.4,-2.8,-131.2,-0.4,9,1.8,1.4,3,2,1.4,1,Ligue_1
2021-2022,Matchweek 9,9,3,0,0.4,-4.2,-1.2,4.8,75.2,0.5,7,2,1.4,17,1,1.6,1,Ligue_1
2021-2022,Matchweek 9,9,2,0,0.4,4.2,0.2,-1.2,17.2,0.4,9,1.2,1.4,18,1,1,1,Ligue_1
2021-2022,Matchweek 9,9,2,1,1.2,1.8,1.2,2,-48,1.3,1,2,1.4,19,0.4,0.4,1,Ligue_1
2021-2022,Matchweek 9,9,2,0,-1,0,0,-3.8,-157.6,-0.2,11,0.8,2,2,3,3,1,Ligue_1
2021-2022,Matchweek 10,10,1,0,-0.8,-0.6,-0.8,1.2,78.4,-0.8,14,0.4,1,12,1.8,0.8,1,Ligue_1
2021-2022,Matchweek 10,10,2,0,-0.4,4.8,2.8,-8.2,28.2,-0.3,4,1.6,2.2,8,2,1.6,1,Ligue_1
2021-2022,Matchweek 10,10,3,1,0.2,2.4,0.2,-0.4,116.4,0.6,2,1.4,1.6,8,1.8,0.8,1,Ligue_1
2021-2022,Matchweek 10,10,0,3,-0.8,-5.6,-2,3,-16,-0.9,17,0.6,1.4,7,1.4,0.6,0,Ligue_1
2021-2022,Matchweek 10,10,1,0,-0.4,-2.4,-0.4,2.2,-51.4,-1.1,12,1.2,1.6,4,2.4,2.6,1,Ligue_1
2021-2022,Matchweek 10,10,2,1,0.8,2,0.6,-1,42.2,0.7,1,2.4,3,6,1.2,1.2,1,Ligue_1
2021-2022,Matchweek 10,10,4,1,0.8,-4.4,-0.8,-3.6,10.8,0.1,8,1.4,1.4,20,0.2,0.4,1,Ligue_1
2021-2022,Matchweek 10,10,1,0,-0.8,-3,-0.8,3,-172.4,-1.3,16,1,0.4,2,2,1.6,1,Ligue_1
2021-2022,Matchweek 11,11,4,1,0.2,6.8,1.6,-3.8,150.6,0.7,4,1.8,1.6,18,0.6,0.8,1,Ligue_1
2021-2022,Matchweek 11,11,3,1,1,-2.4,-1.2,8.6,12.6,0.8,7,2,1.4,13,1.2,0.4,1,Ligue_1
2021-2022,Matchweek 11,11,2,1,1.2,2.4,0.8,1.6,-103.4,0.7,7,2,1.8,14,1,0.8,1,Ligue_1
2021-2022,Matchweek 11,11,3,2,-0.2,0.2,-0.4,1.2,4.8,0.6,1,1.4,1.8,5,1.6,1.4,1,Ligue_1
2021-2022,Matchweek 11,11,1,2,0.2,-0.8,-1.2,-3,44,-0.4,16,1,1,14,1,0.8,0,Ligue_1
2021-2022,Matchweek 11,11,1,0,0.4,8.8,3,-1,-6.6,0.8,5,2,2,11,2,0.8,1,Ligue_1
2021-2022,Matchweek 12,12,1,2,-0.2,-3.8,-2.6,3,-105,-1.1,7,1.2,2,1,1.8,1.4,0,Ligue_1
2021-2022,Matchweek 12,12,3,2,0,-1,0,-5.2,-9.6,-0.1,15,0.8,0.6,17,0.8,1,1,Ligue_1
2021-2022,Matchweek 12,12,2,0,-1.4,-0.8,-0.8,-6.4,-72,-0.5,18,0.4,0.6,7,2.4,1.4,1,Ligue_1
2021-2022,Matchweek 12,12,0,1,-0.2,-4.4,0,-0.8,-91.6,-0.4,15,0.8,1.6,3,1,1.2,0,Ligue_1
2021-2022,Matchweek 12,12,2,1,0,-0.6,1.2,0.8,54.4,-0.2,4,1.6,2.6,4,1.8,2,1,Ligue_1
2021-2022,Matchweek 12,12,2,0,-0.4,2.2,0.6,-3.2,27.6,-0.2,11,1,2.2,7,2,1,1,Ligue_1
2021-2022,Matchweek 12,12,2,1,-0.2,2,-1.2,-1,182.4,-0.1,1,2,3,13,2,0.8,1,Ligue_1
2021-2022,Matchweek 12,12,4,0,0.4,-3,-0.2,-0.4,18.4,-0.1,7,1.4,2,12,1.2,0.6,1,Ligue_1
2021-2022,Matchweek 13,13,2,3,0,-4,-0.4,-6.2,-183.4,-1,15,1.2,1.2,1,2,2,0,Ligue_1
2021-2022,Matchweek 13,13,4,0,0.8,4.4,1.8,-0.4,131.8,0.8,4,1.8,2,14,1.6,1.4,1,Ligue_1
2021-2022,Matchweek 13,13,1,2,-0.4,1.2,0,-3.4,30.8,0.2,12,0.6,2.2,15,1,0.4,0,Ligue_1
2021-2022,Matchweek 13,13,0,1,1,1.4,1,2.6,158.2,0.8,2,2.4,2.2,7,1.4,0.4,0,Ligue_1
2021-2022,Matchweek 13,13,4,1,0.2,3.4,0.6,-1.8,-64.8,-0.2,5,2.2,2.4,6,1.6,0.8,1,Ligue_1
2021-2022,Matchweek 13,13,3,2,0.2,2.8,1.4,2.6,27.2,0.4,20,0.6,0.6,15,0.8,0.2,1,Ligue_1
2021-2022,Matchweek 14,14,1,0,0.8,-1.8,0.2,3.6,31,0.1,7,1,1.4,13,0.4,0.6,1,Ligue_1
2021-2022,Matchweek 14,14,4,0,-0.8,-6.4,-3.6,2,-138,-0.9,13,1.6,1,5,1.8,1.8,1,Ligue_1
2021-2022,Matchweek 14,14,1,2,-0.4,-8.2,-3.4,0,-164.4,-1,18,0.8,1,2,1.8,1.8,0,Ligue_1
2021-2022,Matchweek 14,14,2,1,0.8,-1.4,1.8,3.4,8,0.5,5,1.4,2.6,3,1.6,1.6,1,Ligue_1
2021-2022,Matchweek 14,14,2,1,0,0.2,-0.6,-1.6,206.6,0.1,1,2,3,11,1.6,0.8,1,Ligue_1
2021-2022,Matchweek 14,14,2,0,1.2,4.6,1,0,117.2,0.8,4,2.6,2.4,8,2,0.8,1,Ligue_1
2021-2022,Matchweek 14,14,0,1,-0.6,-2.2,0,-2.4,-122.6,-0.4,15,1.4,1.2,18,1.2,0.2,0,Ligue_1
2021-2022,Matchweek 15,15,1,2,0,2.6,0.2,-4.4,41.2,0,17,1.2,1,12,2.2,1,0,Ligue_1
2021-2022,Matchweek 15,15,0,2,-1.8,-10.8,-3.6,4.6,-166.6,-1.1,15,0.2,1.6,4,2.6,1,0,Ligue_1
2021-2022,Matchweek 15,15,1,0,0,1.8,-0.6,0.8,167.4,0.2,3,1.6,1.6,17,1.4,1.2,1,Ligue_1
2021-2022,Matchweek 15,15,0,1,-0.8,0.6,-0.4,-6.8,-249.6,-0.6,10,1.8,2.2,5,1.8,0.8,0,Ligue_1
2021-2022,Matchweek 15,15,0,1,0.4,2.4,0.2,1.2,229.2,0.3,2,1.8,2,16,0.6,0.8,0,Ligue_1
2021-2022,Matchweek 15,15,1,0,0,2.4,1.6,4.8,-60,0.1,14,0.6,1,19,0.6,0.2,1,Ligue_1
2021-2022,Matchweek 15,15,1,3,-0.2,0.2,-1,3,-125,-0.6,19,1.6,1,1,2.6,2,0,Ligue_1
2021-2022,Matchweek 16,16,0,3,0.2,-4.2,-0.6,-2.8,-103,0,9,1.2,1.4,7,1.2,1,0,Ligue_1
2021-2022,Matchweek 16,16,1,0,0.6,-1,0,-0.6,-97,0.8,11,2.6,1.6,20,1.6,0.8,1,Ligue_1
2021-2022,Matchweek 16,16,2,1,-1.4,-5.8,-4.4,1.4,-39.4,-1.1,16,0,0.8,6,1.4,1.2,1,Ligue_1
2021-2022,Matchweek 16,16,1,2,0.6,-2,-0.4,0,157.8,0.6,5,1.8,2.6,13,1,0.4,0,Ligue_1
2021-2022,Matchweek 16,16,1,3,0.4,-0.6,-0.2,3.2,-11.8,-0.2,18,1.2,0.4,9,1.2,0.8,0,Ligue_1
2021-2022,Matchweek 16,16,0,1,0.6,-0.6,0.8,3,-128.2,0.2,13,1,2,2,1.6,1.4,0,Ligue_1
2021-2022,Matchweek 16,16,1,2,1,7.8,1.8,-8.8,77,0.4,4,2.6,3,12,0.8,0.8,0,Ligue_1
2021-2022,Matchweek 16,16,5,2,-0.4,-2.8,-1,4.8,-23.8,0.1,7,1.2,2,19,1,1.2,1,Ligue_1
2021-2022,Matchweek 16,16,2,0,0.4,1.4,1.6,-5,-42.8,-0.2,15,0.8,1.2,16,0.2,0.4,1,Ligue_1
2021-2022,Matchweek 17,17,1,2,0.8,5.4,0.6,-1.6,-97.8,-0.1,19,0.8,1,5,1.8,0.8,0,Ligue_1
2021-2022,Matchweek 17,17,0,1,-0.6,-3,-1.4,-3,38.8,-0.2,16,0,1,12,0.4,0.4,0,Ligue_1
2021-2022,Matchweek 17,17,1,2,-1.4,1.2,0,-4,171.6,-0.7,2,2,1.6,11,3,1.4,0,Ligue_1
2021-2022,Matchweek 17,17,4,0,0,-2.2,-0.6,3.4,202,0.7,6,1.2,2.2,18,1.2,1.4,1,Ligue_1
2021-2022,Matchweek 17,17,1,0,0.2,-1.2,2,0.6,-113.6,0,9,1.8,1.6,16,0.6,0.2,1,Ligue_1
2021-2022,Matchweek 17,17,0,3,-1.8,-1.2,-0.8,-2.6,83.4,-1,3,1.4,1.4,6,1.8,1.2,0,Ligue_1
2021-2022,Matchweek 17,17,1,2,0.2,2.8,1.2,5,-96,-0.5,14,1.6,1.6,9,1,0.8,0,Ligue_1
2021-2022,Matchweek 17,17,0,4,-1,-5,-2.2,2.2,-62.6,-1.3,20,1.4,1,4,2,1.6,0,Ligue_1
2021-2022,Matchweek 18,18,0,1,0.2,-2.2,-0.2,-3.4,-30.2,0.7,10,1.6,1.4,15,0.6,0.2,0,Ligue_1
2021-2022,Matchweek 18,18,0,4,1.2,2.4,-0.2,3.2,-15.2,0.9,12,3,2,6,1.8,1.2,0,Ligue_1
2021-2022,Matchweek 18,18,3,1,0.8,2.4,2,-1.2,-85,0,17,1,0.4,18,0,0.2,1,Ligue_1
2021-2022,Matchweek 18,18,3,2,-0.6,-5.2,-2.6,5.2,-126.6,-0.6,10,1,2,7,1,0.6,1,Ligue_1
2021-2022,Matchweek 18,18,2,0,-0.2,3.2,1.4,-5.8,168.6,0.2,1,2.2,2.6,7,1.8,1.4,1,Ligue_1
2021-2022,Matchweek 18,18,2,0,0,-4,-0.4,-2.2,-80.8,0,13,1.6,1.4,20,1.2,0.8,1,Ligue_1
2021-2022,Matchweek 18,18,1,2,2.2,5.4,3,-1.2,31,1.3,4,2.4,2.4,3,0.8,2,0,Ligue_1
2021-2022,Matchweek 18,18,0,2,1.6,1.2,0.8,5,-168.8,0.8,7,1.8,2,2,1.4,1.4,0,Ligue_1
2021-2022,Matchweek 19,19,2,3,0.4,2.2,0.6,0.2,-10.8,0.3,19,0.4,0.8,11,1.4,1.4,0,Ligue_1
2021-2022,Matchweek 19,19,0,1,-1.2,-0.8,-0.2,0.8,55.2,-1.1,16,1.2,1.2,7,1.6,1.2,0,Ligue_1
2021-2022,Matchweek 19,19,2,1,0,-6.4,-1.6,10.2,-69.6,-0.1,7,1.6,2.2,5,1.8,2.2,1,Ligue_1
2021-2022,Matchweek 19,19,4,1,0.6,-1.4,0.8,7,-66.8,-0.5,5,1.8,2,11,1.4,1.2,1,Ligue_1
2021-2022,Matchweek 19,19,2,1,-0.4,-0.4,-0.8,3.6,-36,0,2,1.4,1.2,10,0.4,0,1,Ligue_1
2021-2022,Matchweek 19,19,0,1,-0.8,1.8,-0.6,-1.8,52.4,-0.1,20,0.6,1,9,1.4,1,0,Ligue_1
2021-2022,Matchweek 20,20,0,1,0.2,-1.2,-0.6,4,-236.2,0.2,19,0.2,0.6,3,2,1.8,0,Ligue_1
2021-2022,Matchweek 20,20,0,3,0.4,0.4,0.6,4.2,-129,0.2,13,2,2,2,1.4,2,0,Ligue_1
2021-2022,Matchweek 20,20,1,0,-0.4,-5.6,-2.6,0.6,-86.6,-0.4,9,0.4,2.2,6,1.2,2,1,Ligue_1
2021-2022,Matchweek 20,20,2,1,1,-2.6,-0.8,0.8,25.8,0.2,11,1.8,1,18,0.2,0,1,Ligue_1
2021-2022,Matchweek 20,20,0,2,-0.8,-5,-1.6,7,-90.8,-1.3,17,1.4,1,5,2,1.6,0,Ligue_1
2021-2022,Matchweek 20,20,0,1,1.4,-1.2,2,6,-27.6,0.4,6,2.4,2.4,15,1.2,0.8,0,Ligue_1
2021-2022,Matchweek 21,21,4,0,1.2,-2,-0.4,4.2,64.4,0.6,7,2,2.2,17,1.4,0.6,1,Ligue_1
2021-2022,Matchweek 21,21,2,1,0.4,0.4,0.4,-5.8,13.6,0.5,2,2,1.2,10,2,1.4,1,Ligue_1
2021-2022,Matchweek 21,21,2,0,0.2,1.8,-0.6,-4.8,294.2,0.5,1,1.4,2.6,13,1.4,2.2,1,Ligue_1
2021-2022,Matchweek 21,21,0,1,0.2,-0.4,0.2,-2.6,10.2,0.6,14,1.6,1.4,16,0.8,1,0,Ligue_1
2021-2022,Matchweek 21,21,6,0,0.2,4,2,-5.6,201,0.1,6,0.6,1.8,19,0.2,0.6,1,Ligue_1
2021-2022,Matchweek 21,21,1,2,-1.2,0.2,-0.6,4.2,-7.8,-0.5,20,0.2,0.8,8,0.8,0,0,Ligue_1
2021-2022,Matchweek 21,21,3,1,-0.2,6.2,0.8,-5.8,-24,1.2,5,2.4,2,9,2.4,1.8,1,Ligue_1
2021-2022,Matchweek 21,21,0,1,0.2,-2.2,-0.8,-1.8,-71.2,-0.8,15,1.8,1.2,4,1.2,1.4,0,Ligue_1
2021-2022,Matchweek 22,22,2,1,-0.2,-2.2,-0.2,-2.8,17.6,0.2,11,1,0.8,15,1.2,1.4,1,Ligue_1
2021-2022,Matchweek 22,22,4,3,-1,-7.4,-2.6,2,-147.8,-0.9,18,0.2,0,5,2.4,2.2,1,Ligue_1
2021-2022,Matchweek 22,22,1,0,-0.8,1.6,1.2,7.6,-50,-0.3,13,0.8,1.8,12,1.8,1.6,1,Ligue_1
2021-2022,Matchweek 22,22,2,1,-2.2,-5.8,-3.8,4.6,-64.2,-1,15,0.8,0.8,6,1.2,1.4,1,Ligue_1
2021-2022,Matchweek 22,22,0,2,0.2,-4.2,-0.8,-2.2,-133.2,-0.5,9,1.4,2.2,3,1.6,2.4,0,Ligue_1
2021-2022,Matchweek 22,22,1,0,0.8,6,1.4,3.6,171,1,4,1.8,1.6,20,0.2,1,1,Ligue_1
2021-2022,Matchweek 22,22,0,2,-0.8,-1.6,-1.4,9,-115.8,-0.7,17,1.4,1,2,2.4,2.6,0,Ligue_1
2021-2022,Matchweek 22,22,3,2,0,-2.4,0,-0.2,-92.6,-0.8,6,1.8,1.8,8,2,1,1,Ligue_1
2021-2022,Matchweek 22,22,4,2,0.6,-7.4,-1.2,-0.4,-59.4,-0.4,9,2,1.6,18,0.4,0,1,Ligue_1
2021-2022,Matchweek 22,22,4,0,0.6,5,2,-0.6,316,0.5,1,1.8,2.6,14,1,1.2,1,Ligue_1
