Season,Round,Home Side,Away Side,round_num,home_Gls,away_Gls,goals_diff,shots_diff,SoT_diff,tackles_diff,touches_diff,xG_diff,home_side_rank,home_side_rolling_points,home_side_rolling_points_home,away_side_rank,away_side_rolling_points,away_side_rolling_points_away,win_loss,League,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA,Season_odds,League_odds,Home,Away,Predicted,Certainty
2023-2024,Matchweek 19,Brentford,Wolves,19.0,1,4,0.2,2.0,-0.6,5.6,-41.8,0.7,15,0.6,1.8,14,1.4,0.6,0,Premier_league,E0,2023-12-27,Brentford,Wolves,1,4,A,1,3,A,14,11,4,5,5,14,8,2,1,1,0,0,1.95,3.5,4.2,1.95,3.5,3.8,1.95,3.5,3.9,1.94,3.66,4.07,1.85,3.6,3.9,1.91,3.4,3.9,2.25,3.39,3.46,2023-2024,Prem,Brentford,Wolves,1,0.6657687629217928
2023-2024,Matchweek 19,Brighton,Tottenham,19.0,4,2,-1.2,-0.6,-0.6,-4.2,51.6,-0.7,6,1.0,1.8,5,2.4,2.2,1,Premier_league,E0,2023-12-28,Brighton,Tottenham,4,2,H,2,0,H,15,19,9,3,18,6,7,6,3,2,0,0,2.5,3.6,2.6,2.4,3.8,2.6,2.55,3.8,2.55,2.53,4.05,2.56,2.4,3.9,2.5,2.45,3.75,2.5,2.48,3.92,2.71,2023-2024,Prem,Brighton,Tottenham,1,0.6107328669310464
2023-2024,Matchweek 19,Burnley,Liverpool,19.0,0,2,0.0,-8.8,-3.2,-0.8,-187.6,-0.7,19,1.4,0.8,1,1.8,1.8,0,Premier_league,E0,2023-12-26,Burnley,Liverpool,0,2,A,0,1,A,9,19,0,10,7,10,4,4,2,1,0,0,6.5,5.25,1.4,7.0,5.25,1.39,7.0,5.25,1.4,8.02,5.32,1.38,7.5,5.0,1.35,7.5,4.8,1.36,7.85,5.65,1.38,2023-2024,Prem,Burnley,Liverpool,0,0.04902673333721199
2023-2024,Matchweek 19,Chelsea,Crystal Palace,19.0,2,1,0.8,7.8,2.8,-5.6,283.8,1.0,8,1.4,2.4,15,0.6,1.0,1,Premier_league,E0,2023-12-27,Chelsea,Crystal Palace,2,1,H,1,1,D,9,13,4,5,13,16,4,3,3,2,0,0,1.67,4.0,5.0,1.65,3.9,5.0,1.7,3.9,4.9,1.72,3.89,5.06,1.65,3.9,4.6,1.65,3.7,5.0,1.81,3.76,4.72,2023-2024,Prem,Chelsea,Crystal Palace,1,0.7588272378881954
2023-2024,Matchweek 19,Everton,Manchester City,19.0,1,3,0.4,-2.4,-0.8,4.4,-311.2,0.0,11,2.4,2.4,2,1.4,1.2,0,Premier_league,E0,2023-12-27,Everton,Man City,1,3,A,1,0,H,7,23,2,9,13,5,8,4,4,2,0,0,5.75,4.0,1.57,5.5,4.1,1.58,5.5,4.2,1.6,6.32,4.1,1.57,5.5,4.2,1.53,5.75,4.0,1.53,5.5,3.97,1.68,2023-2024,Prem,Everton,Manchester City,0,0.0617507916936774
2023-2024,Matchweek 19,Manchester Utd,Aston Villa,19.0,3,2,-1.0,1.0,-1.2,0.8,36.6,0.5,9,0.4,1.4,3,2.0,1.6,1,Premier_league,E0,2023-12-26,Man United,Aston Villa,3,2,H,0,2,A,13,10,7,4,10,10,3,6,1,3,0,0,2.6,3.5,2.6,2.45,3.6,2.65,2.6,3.6,2.6,2.68,3.62,2.61,2.5,3.6,2.5,2.55,3.5,2.5,2.35,3.77,2.98,2023-2024,Prem,Manchester Utd,Aston Villa,0,0.39265400910200177
2023-2024,Matchweek 19,Newcastle Utd,Nott'ham Forest,19.0,1,3,0.4,7.0,2.4,-3.2,175.2,1.3,9,1.2,3.0,17,0.2,0.4,0,Premier_league,E0,2023-12-26,Newcastle,Nott'm Forest,1,3,A,1,1,D,19,15,7,6,10,11,10,2,3,3,0,0,1.5,4.33,5.75,1.5,4.33,6.25,1.53,4.4,6.25,1.51,4.42,6.64,1.44,4.33,6.5,1.5,4.0,6.5,1.4,5.15,8.1,2023-2024,Prem,Newcastle Utd,Nott'ham Forest,1,0.6548318009393883
2023-2024,Matchweek 19,Sheffield Utd,Luton Town,19.0,2,1,-1.0,1.2,-0.2,6.4,13.4,0.1,18,1.2,1.2,19,0.6,0.2,1,Premier_league,E0,2023-12-26,Sheffield United,Luton,2,3,A,0,1,A,21,12,6,4,13,13,9,4,5,0,0,0,2.3,3.3,3.1,2.35,3.25,3.0,2.35,3.3,3.05,2.46,3.32,3.07,2.3,3.25,3.0,2.38,3.13,3.0,2.46,3.29,3.15,2023-2024,Prem,Sheffield Utd,Luton Town,1,0.5466673191085191
2023-2024,Matchweek 20,Aston Villa,Burnley,20.0,3,2,0.8,4.2,2.4,-5.6,88.8,0.7,3,1.8,2.4,19,0.8,0.8,1,Premier_league,E0,2023-12-30,Aston Villa,Burnley,3,2,H,2,1,H,19,9,7,5,9,14,6,2,4,1,0,1,1.36,5.25,7.5,1.38,5.0,7.75,1.37,5.25,7.75,1.38,5.29,8.1,1.33,5.0,8.0,1.33,4.8,8.5,1.41,5.3,7.94,2023-2024,Prem,Aston Villa,Burnley,1,0.9390183428029173
2023-2024,Matchweek 20,Crystal Palace,Brentford,20.0,3,1,0.4,1.2,0.4,-0.2,-85.4,0.2,15,0.4,0.4,17,0.0,0.6,1,Premier_league,E0,2023-12-30,Crystal Palace,Brentford,3,1,H,2,1,H,13,9,6,4,14,10,7,4,0,1,0,0,2.2,3.3,3.4,2.2,3.25,3.3,2.25,3.3,3.3,2.22,3.3,3.58,2.15,3.4,3.2,2.15,3.2,3.4,2.15,3.27,3.89,2023-2024,Prem,Crystal Palace,Brentford,1,0.8157497720784239
2023-2024,Matchweek 20,Fulham,Arsenal,20.0,2,1,1.0,-5.8,0.2,-0.2,79.0,-0.3,13,1.2,1.8,5,1.4,1.4,1,Premier_league,E0,2023-12-31,Fulham,Arsenal,2,1,H,1,1,D,15,13,4,3,11,10,5,4,4,1,0,0,5.25,4.5,1.55,5.5,4.1,1.58,5.5,4.3,1.57,5.94,4.29,1.57,5.5,4.2,1.53,5.75,4.0,1.53,5.78,4.22,1.61,2023-2024,Prem,Fulham,Arsenal,0,0.19792687852030733
2023-2024,Matchweek 20,Liverpool,Newcastle Utd,20.0,4,2,0.4,2.6,1.6,2.0,57.6,-0.6,1,2.2,1.8,9,0.6,0.2,1,Premier_league,E0,2024-01-01,Liverpool,Newcastle,4,2,H,0,0,D,34,5,15,3,16,15,7,3,3,5,0,0,1.45,4.5,7.0,1.46,4.8,6.0,1.47,4.9,6.0,1.45,4.96,6.69,1.4,4.8,6.5,1.4,4.8,6.5,1.38,5.7,7.75,2023-2024,Prem,Liverpool,Newcastle Utd,1,0.8325828289687077
2023-2024,Matchweek 20,Luton Town,Chelsea,20.0,2,5,0.2,-8.2,-1.0,-1.0,-397.4,-1.5,19,0.6,1.4,6,1.4,0.8,0,Premier_league,E0,2023-12-30,Luton,Chelsea,2,3,A,0,2,A,15,12,6,8,14,21,7,2,2,2,0,0,6.5,4.2,1.5,5.75,4.4,1.53,5.75,4.5,1.53,6.05,4.65,1.52,5.8,4.4,1.5,6.0,4.2,1.5,5.55,4.6,1.58,2023-2024,Prem,Luton Town,Chelsea,0,0.14370687348139102
2023-2024,Matchweek 20,Manchester City,Sheffield Utd,20.0,2,0,0.4,4.4,4.0,-11.2,349.0,0.2,2,2.0,1.6,18,1.8,0.6,1,Premier_league,E0,2023-12-30,Man City,Sheffield United,2,0,H,1,0,H,18,4,4,2,5,6,12,2,1,1,0,0,1.08,11.0,29.0,1.09,12.0,26.0,1.08,11.0,26.0,1.07,14.55,28.9,1.04,12.0,29.0,1.06,10.5,26.0,1.07,14.0,36.0,2023-2024,Prem,Manchester City,Sheffield Utd,1,0.9782715027905803
2023-2024,Matchweek 20,Nott'ham Forest,Manchester Utd,20.0,2,1,0.2,-5.0,-1.6,1.6,-193.6,-0.3,16,0.8,0.6,9,1.0,1.4,1,Premier_league,E0,2023-12-30,Nott'm Forest,Man United,2,1,H,0,0,D,8,10,2,5,9,11,4,5,2,4,0,0,3.2,3.6,2.15,3.2,3.6,2.15,3.2,3.6,2.15,3.33,3.72,2.15,3.1,3.6,2.1,3.25,3.5,2.1,3.31,3.66,2.21,2023-2024,Prem,Nott'ham Forest,Manchester Utd,0,0.39321680571070655
2023-2024,Matchweek 20,Tottenham,Bournemouth,20.0,3,1,-0.8,4.8,1.8,5.0,194.0,0.6,4,1.8,1.2,11,3.0,2.4,1,Premier_league,E0,2023-12-31,Tottenham,Bournemouth,3,1,H,1,0,H,12,24,6,4,9,18,4,13,3,3,0,0,1.75,4.2,4.0,1.75,4.2,4.0,1.8,4.3,3.9,1.77,4.42,4.08,1.7,4.2,4.0,1.73,4.1,4.0,1.79,4.59,3.92,2023-2024,Prem,Tottenham,Bournemouth,1,0.9553901046348465
2023-2024,Matchweek 20,West Ham,Brighton,20.0,0,0,0.2,-6.8,-2.2,2.4,-279.4,-0.5,7,2.4,2.0,7,1.6,0.8,0,Premier_league,E0,2024-01-02,West Ham,Brighton,0,0,D,0,0,D,6,22,2,8,4,6,2,0,1,0,0,0,2.45,3.75,2.75,2.4,3.7,2.7,2.45,3.7,2.7,2.52,3.68,2.74,2.38,3.7,2.6,2.38,3.5,2.7,3.19,3.65,2.27,2023-2024,Prem,West Ham,Brighton,0,0.4461609260010384
2023-2024,Matchweek 20,Wolves,Everton,20.0,3,0,-0.2,-1.6,-1.0,1.8,173.4,-0.6,14,2.0,1.8,11,1.8,2.4,1,Premier_league,E0,2023-12-30,Wolves,Everton,3,0,H,1,0,H,12,10,6,0,9,14,5,2,2,3,0,0,2.63,3.3,2.7,2.55,3.4,2.7,2.6,3.3,2.7,2.67,3.41,2.74,2.5,3.4,2.6,2.55,3.2,2.7,2.97,3.24,2.61,2023-2024,Prem,Wolves,Everton,1,0.560509855319028
2023-2024,Matchweek 21,Arsenal,Crystal Palace,21.0,5,0,-0.8,9.2,1.2,-2.2,233.0,0.5,4,0.8,2.4,15,1.0,1.0,1,Premier_league,E0,2024-01-20,Arsenal,Crystal Palace,5,0,H,2,0,H,21,12,6,5,8,12,6,7,0,0,0,0,1.3,5.75,9.0,1.3,5.5,10.5,,,,1.29,5.85,10.86,1.25,5.5,11.0,1.25,5.75,13.0,1.27,6.15,12.65,2023-2024,Prem,Arsenal,Crystal Palace,1,0.8994150318880773
