home_Gls,Away_Gls,goals_difference,shots_difference,SoT_difference,tackles_difference,touches_difference,xG_difference,home_side_rank,away_side_rank,rolling_points_difference,rolling_points_home_difference,rolling_points_away_difference
2,1,0.2,-5,0.4,-6.2,90.6,-0.3,7,9,0,0,0.5
0,0,-0.2,-0.4,-0.2,-1.6,-5.6,0.1,15,19,0.2,0.2,0.30000000000000004
0,1,-1.6,-8.4,-3.4,-0.2,-154.4,-1.4,5,1,-0.20000000000000018,-1,0.39999999999999991
3,0,0.4,-0.6,1.8,2.4,-87.8,0.9,6,20,0.60000000000000009,1.5,0.8
1,1,1,-1.8,1,3.8,-81.2,0,5,2,0.39999999999999991,-0.10000000000000009,-0.30000000000000027
1,2,0,-1.8,-2.6,-5.4,-79.4,0.5,8,6,0.19999999999999996,0,-0.10000000000000009
0,1,-0.2,-2.4,-1.2,-4,-238.4,-0.2,19,10,-0.79999999999999993,-0.7,-1.0999999999999999
3,1,1.4,7.2,3.4,-11,174.4,0.9,3,14,1.4,1.9000000000000001,0.8
3,1,0.8,9.6,3.8,3.8,189,0.9,8,12,0,0.19999999999999996,0.5
0,0,-0.4,0.2,1,2.4,2.8,-0.4,20,18,0,-0.8,0.3
5,1,2.6,5.6,2.8,-4.4,303.6,1.6,1,16,2.2,2.5,1.2
1,0,-0.8,-0.4,-0.8,2.6,-12.6,-1,16,7,-0.99999999999999989,-1.6,-1.3
3,2,-1,2,-0.4,8,59.4,0.2,13,14,-0.79999999999999993,-0.6,0
2,3,-0.4,2,0.8,0.8,-109.8,-0.5,11,4,-1,-0.39999999999999991,-0.59999999999999987
1,1,1.4,-2.8,0,0.4,132,0,5,11,1.0000000000000002,1,0.89999999999999991
2,1,0.4,7.4,2,-1.8,20.2,0.6,16,12,-1.2000000000000002,-1.2000000000000002,-0.5
0,0,0.4,1.8,0.8,-4.6,223.8,0.4,4,8,-0.19999999999999973,0.20000000000000018,1
0,1,-0.6,-0.8,-2.2,3.2,-60.6,-0.2,16,3,-2.1999999999999997,-1.6,-1.2
1,1,-0.8,1.8,0.6,0.8,89.4,-0.4,20,13,-0.6,0,-0.30000000000000004
0,0,0,6.8,2,0.4,165.6,0.9,9,15,0.59999999999999987,0.39999999999999991,0.79999999999999993
2,0,0.8,1.6,1.6,-1.8,106,0.7,2,19,1.6,1.6,2.2
3,1,0.6,4.6,0,-0.8,164.2,0.5,1,6,0.39999999999999991,1.2,-0.20000000000000018
2,1,-1.4,1.6,-0.6,7.2,-16,-1.1,13,9,-1.2,-1,-1.3
1,1,-0.8,0.8,1.6,0.8,-99.8,-0.7,16,7,-0.79999999999999993,-1.2000000000000002,-0.59999999999999987
1,1,-0.6,-0.4,-0.6,-7.2,-182.8,0.5,9,5,-0.40000000000000013,-1.4000000000000001,-0.19999999999999996
1,1,0.4,-8.6,-2,1,-181.2,-0.7,12,9,0.8,0.60000000000000009,-1.2
1,1,-0.4,-8.8,-2.8,-3.6,-95.8,-0.7,14,13,-0.99999999999999989,0,0
1,0,0.2,1.4,0.6,4,141.8,0,6,18,0.8,1.4,0.8
3,2,0.2,-2,-2,-1.2,136.2,-0.6,16,18,-0.39999999999999997,0.20000000000000007,-0.4
0,0,1.4,2.4,3,-4.2,48.8,0.7,6,16,1.8,1.6,1.6
3,1,-1.2,-8.4,-2.2,2.6,-171.8,-1,3,4,0.19999999999999973,-0.70000000000000018,0.19999999999999973
0,3,-0.4,-1.6,-0.6,-0.2,-147.8,0.1,8,2,-0.80000000000000027,-0.8,-0.80000000000000027
0,4,-1.8,-3.4,-3.2,5,-207.4,-1,14,1,-1.6,-2,-1.4000000000000001
0,2,0.4,-0.2,0.2,-0.8,-62,0.7,11,18,0.20000000000000007,0.99999999999999989,0.99999999999999989
4,2,0,3,-0.6,3.2,153.2,0.1,5,3,-1,0.70000000000000018,-1
2,1,0.8,-2.4,-1.2,-5.6,-147,-0.2,15,12,1,-0.19999999999999996,-1.4000000000000001
2,0,1,8.4,2.4,-0.4,265.6,1.1,4,18,0.8,1,2
2,0,0,2.6,0.6,6.2,-2.8,0.4,14,17,0,-0.4,-0.20000000000000007
1,2,-0.4,5.8,2.8,8.4,163,-0.1,20,11,-0.39999999999999991,-1.6,-0.4
2,0,-0.6,3.4,0.4,0.6,-1.4,0.2,7,9,-0.19999999999999996,-0.8,1
1,0,0.8,1,1.2,-3.6,166.8,0,2,7,0.60000000000000009,0.60000000000000009,1.2000000000000002
3,1,2.4,5,3.4,-0.4,247,1.2,1,10,2,1.8,1.0000000000000002
0,3,-0.2,4.8,0.8,-3.4,57.4,0.2,15,13,0.60000000000000009,0.19999999999999996,-0.4
2,2,-0.6,3.6,0.2,-3.2,-67,-0.5,18,6,-1,-1.4,-0.8
1,1,0.6,-1.6,-1.6,-9.4,-25.6,0.5,10,19,-0.19999999999999996,0.79999999999999993,0.19999999999999996
3,1,0.2,-6,-1,-1.6,-12.8,-0.4,9,14,0.39999999999999991,1.2000000000000002,0
1,3,-1.6,-8.4,-3.6,-0.4,-234.4,-1.2,17,2,-2.2,-1.6,-1.4000000000000001
1,1,0.2,-1.8,1,1.2,6,0.3,7,14,-0.20000000000000018,1.2,0.4
1,1,-0.4,-4.6,-1,0.2,-33.8,-1,17,7,-1,0.39999999999999991,-1.4000000000000001
2,1,-0.4,-2.2,1.4,-1.4,-118.4,0.2,6,5,0.20000000000000018,-0.60000000000000009,-0.60000000000000009
3,1,0.6,-5.6,-0.4,1.6,59.8,0.2,3,19,1.2000000000000002,1.2000000000000002,2.8
1,2,-2.4,-4,-3.2,0.4,-259.6,-0.7,10,1,-2.2,-1.8,-1.2000000000000002
3,1,0.6,-0.8,1,2.8,69.8,0.2,13,16,0.40000000000000013,-0.19999999999999996,0.8
2,1,-1.2,-0.8,-1.2,2.4,-272.2,-0.2,12,4,-1.8,-0.60000000000000009,0
1,0,0.6,0.6,-0.6,-3,148.8,0.6,5,19,0,1.8000000000000003,1.2000000000000002
0,3,-1,-6.4,-3.6,0.2,-218.8,-1.1,11,1,-2.2,-1.4000000000000001,-1.0000000000000002
1,0,-0.8,-1.2,-0.2,-3.2,-13.6,0.1,15,10,-0.99999999999999989,-0.60000000000000009,-0.39999999999999991
1,0,-0.4,-3,-3,-0.6,-89,0.2,14,19,0.79999999999999993,1.2000000000000002,0
2,0,-2,0.2,-1.6,3.8,-48.2,-0.9,4,2,-1.6,-1.2,-1
2,1,0.6,2.4,0.6,3.4,73,0.1,7,11,1.4000000000000001,1.4000000000000001,0.19999999999999996
0,2,-1.4,-0.2,-3,0.2,-57.2,-0.1,8,3,-0.59999999999999987,-0.19999999999999996,-0.79999999999999982
